ModelName|Postion.X|Postion.Y|Postion.Z|Rotation.W|Rotation.X|Rotation.Y|Rotation.Z|Movability|
ShelfSystemH200T6L10W|6.455868|0.472581|1|0|0|0|-1|2|
ShelfLayer6TilesL10_Bottom|6.455868|0.556951|0.115089|0|0|0|1|2|
ShelfLayer5TilesL10|6.455868|0.477581|0.399935|0|0|0|1|2|
ShelfLayer5TilesL10|6.455868|0.477581|0.754782|0|0|0|1|2|
ShelfLayer5TilesL10|6.455868|0.477581|1.181138|0|0|0|1|2|
ShelfLayer5TilesL10|6.455868|0.47758|1.532171|0|0|0|1|2|
ShelfLayer6TilesL10_Bottom|2.873769|2.671542|0.135401|1|0|0|0|2|
ShelfLayer5TilesL10|2.875228|2.750296|0.357|1|0|0|0|2|
ShelfLayer5TilesL10|2.873769|2.74613|0.609|1|0|0|0|2|
ShelfLayer5TilesL10|2.873769|2.746146|0.861|1|0|0|0|2|
ShelfLayer5TilesL10|2.873769|2.746167|1.113|1|0|0|0|2|
ShelfLayer5TilesL10|2.873769|2.746182|1.365|1|0|0|0|2|
ShelfLayer6TilesL10_Bottom|3.88164|2.671542|0.135401|1|0|0|0|2|
ShelfLayer5TilesL10|3.88164|2.74613|0.609|1|0|0|0|2|
ShelfLayer5TilesL10|3.88164|2.746146|0.861|1|0|0|0|2|
ShelfLayer5TilesL10|3.88164|2.746167|1.113|1|0|0|0|2|
ShelfLayer5TilesL10|3.88164|2.746182|1.365|1|0|0|0|2|
ShelfLayer5TilesL10|3.883099|2.750297|0.357|1|0|0|0|2|
ShelfSystemH160T4L10W|5.669927|2.996662|0.8|0.707107|0|0|0.707107|2|
ShelfLayer4TilesL10_Bottom|5.74912|2.996662|0.124878|0.707107|0|0|0.707107|2|
ShelfLayer4TilesL10|5.711356|2.996662|0.485|0.707107|0|0|0.707107|2|
ShelfLayer4TilesL10|5.711356|2.996662|0.779|0.707107|0|0|0.707107|2|
ShelfLayer4TilesL10|5.711356|2.996662|1.325|0.707107|0|0|0.707107|2|
ShelfLayer4TilesL10|5.711356|2.996662|1.073|0.707107|0|0|0.707107|2|
ShelfLayer6TilesL10_Bottom|4.889639|2.671542|0.135401|1|0|0|0|2|
ShelfLayer5TilesL10|4.889639|2.750296|0.357|1|0|0|0|2|
ShelfLayer5TilesL10|4.889639|2.74613|0.609|1|0|0|0|2|
ShelfLayer5TilesL10|4.889639|2.746146|0.861|1|0|0|0|2|
ShelfLayer5TilesL10|4.889639|2.746167|1.113|1|0|0|0|2|
ShelfLayer5TilesL10|4.889639|2.746182|1.365|1|0|0|0|2|
ShelfSystemH180T5L10W|7.486614|1.639436|0.9|0.707107|0|0|-0.707107|2|
ShelfLayer5TilesL10_Bottom|7.411435|1.639436|0.120042|0.707107|0|0|-0.707107|2|
ShelfLayer4TilesL10|7.481614|1.639436|0.451|0.707107|0|0|-0.707107|2|
ShelfLayer4TilesL10|7.481614|1.639436|0.745|0.707107|0|0|-0.707107|2|
ShelfSystemH180T5L10W|7.486614|2.639928|0.9|0.707107|0|0|-0.707107|2|
ShelfLayer5TilesL10_Bottom|7.411435|2.639928|0.120042|0.707107|0|0|-0.707107|2|
ShelfLayer4TilesL10|7.481614|2.639928|0.451|0.707107|0|0|-0.707107|2|
ShelfLayer4TilesL10|7.481614|2.639928|0.745|0.707107|0|0|-0.707107|2|
ShelfLayer4TilesL10|7.481614|2.639928|1.039|0.707107|0|0|-0.707106|2|
ShelfLayer4TilesL10|7.481614|2.639928|1.333|0.707107|0|0|-0.707106|2|
ShelfSystemH200T5L6W|7.486237|3.54168|1|0.707107|0|0|-0.707107|2|
ShelfSystemH200T7L10W|7.375556|4.462128|1|0.707107|0|0|-0.707107|2|
ShelfLayer7TilesL10_Bottom|7.286417|4.462128|0.158993|0.707107|0|0|-0.707107|2|
ShelfLayer6TilesL10|7.370556|4.462128|0.497|0.707107|0|0|-0.707107|2|
ShelfLayer6TilesL10|7.370556|4.462128|0.833|0.707107|0|0|-0.707107|2|
ShelfLayer6TilesL10|7.370556|4.462128|1.211|0.707107|0|0|-0.707107|2|
ShelfLayer6TilesL10|7.370556|4.462128|1.463|0.707107|0|0|-0.707106|2|
ShelfLayer6TilesL10|7.370556|4.462128|1.799|0.707107|0|0|-0.707106|2|
