ModelName|Postion.X|Postion.Y|Postion.Z|Rotation.W|Rotation.X|Rotation.Y|Rotation.Z|Movability|
ShelfSystemH200T7L10W|7.375556|4.462128|1|0.707107|0|0|-0.707107|2|
ShelfLayer7TilesL10_Bottom|7.286417|4.462128|0.168|0.707107|0|0|-0.707107|2|
ShelfShelfLayer6TilesL10|7.370556|4.462128|0.558|0.707107|0|0|-0.707107|2|
ShelfShelfLayer6TilesL10|7.370556|4.462128|0.872|0.707107|0|0|-0.707107|2|
ShelfShelfLayer6TilesL10|7.370556|4.462128|1.182|0.707107|0|0|-0.707107|2|
ShelfShelfLayer6TilesL10|7.370556|4.462128|1.432|0.707107|0|0|-0.707107|2|
ShelfShelfLayer6TilesL10|7.370556|4.462128|1.682|0.707107|0|0|-0.707107|2|
